Source,Target,Decision,Reason,NER_Status,tokens_src,tokens_tgt
"looking back to the time when he was growing up, a brother named vincent says somebody was always harassing me, bullying me, or picking a fight with me because i was a witness.","obboleessi viinsenti jedhamu, wanta ijoollummaasaatti isarra ga e yaadachuudhaan akkas jedheera namichi tokko dhugaa baatuu waanan ta eef yeroo hunda na doorsisa, akkasumas na lola ture.",KEEP,VALID,CONSISTENT,"looking back to the time when he was growing up, a brother named vincent says somebody was always harassing me, bullying me, or picking a fight with me because i was a witness.","obboleessi viinsenti jedhamu, wanta ijoollummaasaatti isarra ga e yaadachuudhaan akkas jedheera namichi tokko dhugaa baatuu waanan ta eef yeroo hunda na doorsisa, akkasumas na lola ture."
"if a worshipper is truly desirous of pleasing god, he will take care to be obedient to all of god s commands.","namni waaqayyoon waaqeffatu tokko dhugumaan isa gammachiisuu kan barbaadu yoo ta e, abboommiiwwan waaqayyoo hundumaaf abboomamuuf of eeggannoo godha.",KEEP,VALID,CONSISTENT,"if a worshipper is truly desirous of pleasing god, he will take care to be obedient to all of god s commands.","namni waaqayyoon waaqeffatu tokko dhugumaan isa gammachiisuu kan barbaadu yoo ta e, abboommiiwwan waaqayyoo hundumaaf abboomamuuf of eeggannoo godha."
"at that time, few congregations had kingdom halls, so they met in private homes or rented rooms.","yeroo sanatti, gumiiwwan galma mootummaa qaban muraasa turan gumiiwwan kaan, mana dhuunfaa ykn mana kiraa keessatti walga'u turan.",KEEP,VALID,CONSISTENT,"at that time, few congregations had kingdom halls, so they met in private homes or rented rooms.","yeroo sanatti, gumiiwwan galma mootummaa qaban muraasa turan gumiiwwan kaan, mana dhuunfaa ykn mana kiraa keessatti walga'u turan."
commendation enriches a child s character.,"fakkeenya galateeffachuun, ijoolleen amala gaarii akka horatan gargaara.",KEEP,VALID,CONSISTENT,commendation enriches a child s character.,"fakkeenya galateeffachuun, ijoolleen amala gaarii akka horatan gargaara."
what encouragement can older servants of jehovah draw from the psalms?,"maanguddoonni tajaajiltoota yihowaa ta an, faarfaticharraa jajjabina akkamii argachuu danda u?",KEEP,VALID,CONSISTENT,what encouragement can older servants of jehovah draw from the psalms?,"maanguddoonni tajaajiltoota yihowaa ta an, faarfaticharraa jajjabina akkamii argachuu danda u?"
never before have there been so many faithful servants of jehovah on earth.,namoonni amanamummaadhaan yihowaa tajaajilan akka yeroo ammaatti baay atanii hin beekan.,KEEP,VALID,CONSISTENT,never before have there been so many faithful servants of jehovah on earth.,namoonni amanamummaadhaan yihowaa tajaajilan akka yeroo ammaatti baay atanii hin beekan.
why have language differences not hindered god s communication with people?,afaanota gidduu garaa garummaan jiraachuun isaa waaqayyo yaada isaa namootaaf ibsuu irraa kan isa hin dhowwine maaliifi?,KEEP,VALID,CONSISTENT,why have language differences not hindered god s communication with people?,afaanota gidduu garaa garummaan jiraachuun isaa waaqayyo yaada isaa namootaaf ibsuu irraa kan isa hin dhowwine maaliifi?
"earlier in the evening, he said that the love they displayed for one another would identify them as his followers.","galgaluma sana kana jechuusaa dura, jaalalli isaan waliisaaniitiif qaban duuka buutotasaa ta uusaanii akka beeksisu dubbatee ture.",KEEP,VALID,CONSISTENT,"earlier in the evening, he said that the love they displayed for one another would identify them as his followers.","galgaluma sana kana jechuusaa dura, jaalalli isaan waliisaaniitiif qaban duuka buutotasaa ta uusaanii akka beeksisu dubbatee ture."
"trees that are relocated experience stress, but when they are transplanted, they grow new roots","mukoonni buqqifamanii yommuu bakka biraa dhaabaman isaanitti hin tolu, ta'us yommuu bakka biraa dhaabaman hidda haaraa baafatu",KEEP,VALID,CONSISTENT,"trees that are relocated experience stress, but when they are transplanted, they grow new roots","mukoonni buqqifamanii yommuu bakka biraa dhaabaman isaanitti hin tolu, ta'us yommuu bakka biraa dhaabaman hidda haaraa baafatu"
he thus began to learn that his creator would permanently solve mankind s problems.,"sana booda, waaqayyo rakkina ilmaan namootaatiif furmaata akka kennu barate.",KEEP,VALID,CONSISTENT,he thus began to learn that his creator would permanently solve mankind s problems.,"sana booda, waaqayyo rakkina ilmaan namootaatiif furmaata akka kennu barate."
god wants you to find happiness by planning for things other than those that satisfy animals.,waaqayyo wantoota kana irra caalaniif karoora baafachuudhaan gammachuu akka argattu barbaada.,KEEP,VALID,CONSISTENT,god wants you to find happiness by planning for things other than those that satisfy animals.,waaqayyo wantoota kana irra caalaniif karoora baafachuudhaan gammachuu akka argattu barbaada.
"during the fascist dictatorship, both of them had been exiled to the island of ventotene, where perceived enemies of the regime were held.",bulchiinsa faashistii jalatti lamaansaanii odoola veentootenee jedhamtutti bakka namoonni akka diinota sirnichaatti ilaalaman geeffamanitti waliin turan.,KEEP,VALID,CONSISTENT,"during the fascist dictatorship, both of them had been exiled to the island of ventotene, where perceived enemies of the regime were held.",bulchiinsa faashistii jalatti lamaansaanii odoola veentootenee jedhamtutti bakka namoonni akka diinota sirnichaatti ilaalaman geeffamanitti waliin turan.
"jehovah is going to remove those who go contrary to his will, and he will reward those who live in harmony with it.",yihowaan namoota fedhasaatiin morman ni balleessa namoota akka fedhasaatti jiraatanimmoo ni kiisa.,KEEP,VALID,CONSISTENT,"jehovah is going to remove those who go contrary to his will, and he will reward those who live in harmony with it.",yihowaan namoota fedhasaatiin morman ni balleessa namoota akka fedhasaatti jiraatanimmoo ni kiisa.
"the story takes place in ankober, an old town located kms north of addis ababa.",seenichi ankoober magaalaa umurii qabeettii kaaba finfinnee irraa kms irratti argamtutti raawwate.,KEEP,VALID,CONSISTENT,"the story takes place in ankober, an old town located kms north of addis ababa.",seenichi ankoober magaalaa umurii qabeettii kaaba finfinnee irraa kms irratti argamtutti raawwate.
"paragraph for information about situations in which one christian might decide to take legal action against another christian, see keep yourselves in god s love, p. , ftn.","keeyyata haalawwan kiristiyaanni tokko nama hidhata amantii isaa ta'e irratti seeraan tarkaanfii akka fudhatu isa taasisuu danda'an ilaalchisee odeeffannoo dabalataa argachuuf, kitaaba jaalala waaqayyoo keessatti of eegaa! jedhamu ful. , miiljalee ilaali.",KEEP,VALID,CONSISTENT,"paragraph for information about situations in which one christian might decide to take legal action against another christian, see keep yourselves in god s love, p. , ftn.","keeyyata haalawwan kiristiyaanni tokko nama hidhata amantii isaa ta'e irratti seeraan tarkaanfii akka fudhatu isa taasisuu danda'an ilaalchisee odeeffannoo dabalataa argachuuf, kitaaba jaalala waaqayyoo keessatti of eegaa! jedhamu ful. , miiljalee ilaali."
"unknown to me, this young man too had a keen interest in god s word.","natti beekamuu baatus, dargaggeessi kunis dubbii waaqayyoo beekuuf fedhii guddaa qaba ture.",KEEP,VALID,CONSISTENT,"unknown to me, this young man too had a keen interest in god s word.","natti beekamuu baatus, dargaggeessi kunis dubbii waaqayyoo beekuuf fedhii guddaa qaba ture."
the marie stopes organisation is to open the first private clinic to offer abortions to women in northern ireland from october.,dhaabbanni maarii istoops kilinika dhuunfaa banuudhaan onkololeessa irraa eegalee kaaba ayerlaand keessattii dubartootaaf tajaajila ulfa baasuu kennuu ni eegala.,KEEP,VALID,CONSISTENT,the marie stopes organisation is to open the first private clinic to offer abortions to women in northern ireland from october.,dhaabbanni maarii istoops kilinika dhuunfaa banuudhaan onkololeessa irraa eegalee kaaba ayerlaand keessattii dubartootaaf tajaajila ulfa baasuu kennuu ni eegala.
it is even more tragic to sacrifice your intimacy with jehovah through misuse or overuse of technology.,teknooloojiitti karaa sirrii hin taaneen ykn hanga barbaachisuu ol fayyadamuudhaan hariiroo yihowaa wajjin qaban dhabuunimmoo aarsaa kana caalaa nama gaddisiisu ta'uu danda'a.,KEEP,VALID,CONSISTENT,it is even more tragic to sacrifice your intimacy with jehovah through misuse or overuse of technology.,teknooloojiitti karaa sirrii hin taaneen ykn hanga barbaachisuu ol fayyadamuudhaan hariiroo yihowaa wajjin qaban dhabuunimmoo aarsaa kana caalaa nama gaddisiisu ta'uu danda'a.
the man was embarrassed and apologized for his tirade.,"yeroo kanatti namichi kan qaana'e ta'uu isaa irra iyyuu, waan isatti iyyeef dhiifama isa gaafate.",KEEP,VALID,CONSISTENT,the man was embarrassed and apologized for his tirade.,"yeroo kanatti namichi kan qaana'e ta'uu isaa irra iyyuu, waan isatti iyyeef dhiifama isa gaafate."
"in the long run, despite the pain, it brings good results.","dhiphina kan geessisu ta'us, yeroo booda bu'aa gaarii argamsiisa.",KEEP,VALID,CONSISTENT,"in the long run, despite the pain, it brings good results.","dhiphina kan geessisu ta'us, yeroo booda bu'aa gaarii argamsiisa."
"so right after the rebellion, god made arrangements to enable humans to restore their friendship with him while he at the same time maintained his own righteous standards.","kanaaf, waaqayyo fincilli sun ka'ee utuu baay'ee hin turin qophii ilmaan namootaa michummaa isaa wajjin qaban deebisanii akka haaromsan isaan dandeessisu godheera.",KEEP,VALID,CONSISTENT,"so right after the rebellion, god made arrangements to enable humans to restore their friendship with him while he at the same time maintained his own righteous standards.","kanaaf, waaqayyo fincilli sun ka'ee utuu baay'ee hin turin qophii ilmaan namootaa michummaa isaa wajjin qaban deebisanii akka haaromsan isaan dandeessisu godheera."
"i promptly pushed the girl away, and she ran out.",anis battaluma sanatti ofirraa yommuun ishee darbadhu fiigdee kuticha keessaa baate.,KEEP,VALID,CONSISTENT,"i promptly pushed the girl away, and she ran out.",anis battaluma sanatti ofirraa yommuun ishee darbadhu fiigdee kuticha keessaa baate.
he placed a copy of the bible teach book with them and arranged for a return visit the next day.,"jedhamu tokko erga isaanii kennee booda, guyyaa ittaanutti deebi'ee dhaquuf beellama qabate.",KEEP,VALID,CONSISTENT,he placed a copy of the bible teach book with them and arranged for a return visit the next day.,"jedhamu tokko erga isaanii kennee booda, guyyaa ittaanutti deebi'ee dhaquuf beellama qabate."
"happily, christ s sacrifice makes reconciliation with god possible.","kan nama gammachiisu garuu, aarsaan kiristoos waaqayyotti araaramuun akka danda'amu godheera.",KEEP,VALID,CONSISTENT,"happily, christ s sacrifice makes reconciliation with god possible.","kan nama gammachiisu garuu, aarsaan kiristoos waaqayyotti araaramuun akka danda'amu godheera."
"it should be noted that jesus said that those in judea, not just jerusalem, were to start fleeing.","yesus, baqachuu kan qaban namoota yerusaalem keessa jiraatan qofa utuu hin ta in, warri yihudaa jiranis akka baqatan dubbachuusaa qalbeeffachuu qabna.",KEEP,VALID,CONSISTENT,"it should be noted that jesus said that those in judea, not just jerusalem, were to start fleeing.","yesus, baqachuu kan qaban namoota yerusaalem keessa jiraatan qofa utuu hin ta in, warri yihudaa jiranis akka baqatan dubbachuusaa qalbeeffachuu qabna."
lucius junius moderatus columella was a roman soldier and farmer who lived in the first century c.e.,"namichi luusheeyas juuniyas maadaretas kaalyamella jedhamu, loltuu warra roomaafi qonnaan bulaa dh.k.b. jaarraa jalqabaatti jiraatedha.",KEEP,VALID,CONSISTENT,lucius junius moderatus columella was a roman soldier and farmer who lived in the first century c.e.,"namichi luusheeyas juuniyas maadaretas kaalyamella jedhamu, loltuu warra roomaafi qonnaan bulaa dh.k.b. jaarraa jalqabaatti jiraatedha."
"in a few cases, government agencies have even denied citizenship to individuals solely on the grounds that they are jehovah s witnesses!",darbee darbee namoonni aangoo qaban tokko tokkos mirga lammummaa isaan dhowwataniiru isaan garuu gara duubaatti hin jenne.,KEEP,VALID,CONSISTENT,"in a few cases, government agencies have even denied citizenship to individuals solely on the grounds that they are jehovah s witnesses!",darbee darbee namoonni aangoo qaban tokko tokkos mirga lammummaa isaan dhowwataniiru isaan garuu gara duubaatti hin jenne.
how does timing in the biological realm show god s wisdom?,sa'aatiin inni uumamaan lubbu qabeeyyii keessa jiru ogummaa waaqayyoo kan mul'isu akkamitti?,KEEP,VALID,CONSISTENT,how does timing in the biological realm show god s wisdom?,sa'aatiin inni uumamaan lubbu qabeeyyii keessa jiru ogummaa waaqayyoo kan mul'isu akkamitti?
b what does the account of joseph teach us about jehovah?,b seenaan yoseef waa'ee yihowaa maal nu barsiisa?,KEEP,VALID,CONSISTENT,b what does the account of joseph teach us about jehovah?,b seenaan yoseef waa'ee yihowaa maal nu barsiisa?
"also on jw.org, the study guides what does the bible really teach?","kana malees, barreeffamni qo'annaa kitaaba, macaafni qulqulluun maal barsiisa?",KEEP,VALID,CONSISTENT,"also on jw.org, the study guides what does the bible really teach?","kana malees, barreeffamni qo'annaa kitaaba, macaafni qulqulluun maal barsiisa?"
"why, aaron even called their calf worship a festival to jehovah!","aaron waaqeffannaa dibichaa isaanii sana, ulfina gooftichaatiif guyyaa ayyaanaa haa ta'u!",KEEP,VALID,CONSISTENT,"why, aaron even called their calf worship a festival to jehovah!","aaron waaqeffannaa dibichaa isaanii sana, ulfina gooftichaatiif guyyaa ayyaanaa haa ta'u!"
b what has been said about the earthly part of jehovah s organization?,b namoonni tokko tokko waa ee jaarmiyaa yihowaa isa lafarratti argamuu wanta isaanitti dhaga amu akkamitti ibsan?,KEEP,VALID,CONSISTENT,b what has been said about the earthly part of jehovah s organization?,b namoonni tokko tokko waa ee jaarmiyaa yihowaa isa lafarratti argamuu wanta isaanitti dhaga amu akkamitti ibsan?
he was determined to make an effort to restore peace.,achiis nagaa uumuudhaaf carraaqqii gochuuf murteesse.,KEEP,VALID,CONSISTENT,he was determined to make an effort to restore peace.,achiis nagaa uumuudhaaf carraaqqii gochuuf murteesse.
"indeed, the creation drama gave a great witness to jehovah s praise shortly before the hitler regime unleashed fierce persecution upon his people in europe.","kiri'eeshin diraamaan, hiitlar saba yihowaa awurooppaatti argamanirratti ari'atama geessisuusaa dura, yeroo gabaabaa keessatti waa'ee yihowaa bal'inaan dhugaa ba'uuf gargaareera.",KEEP,VALID,CONSISTENT,"indeed, the creation drama gave a great witness to jehovah s praise shortly before the hitler regime unleashed fierce persecution upon his people in europe.","kiri'eeshin diraamaan, hiitlar saba yihowaa awurooppaatti argamanirratti ari'atama geessisuusaa dura, yeroo gabaabaa keessatti waa'ee yihowaa bal'inaan dhugaa ba'uuf gargaareera."
"when we went on family road trips, it must have been frustrating for my parents to see me sitting in the backseat reading a book rather than looking at the scenery.","maatiidhaan taanee konkolaataadhaan yeroo deemnu, warri koo naannoo isaa ilaaluu mannaa duuba taa'ee yeroon dubbisu aaranii ta'uu qaba.",KEEP,VALID,CONSISTENT,"when we went on family road trips, it must have been frustrating for my parents to see me sitting in the backseat reading a book rather than looking at the scenery.","maatiidhaan taanee konkolaataadhaan yeroo deemnu, warri koo naannoo isaa ilaaluu mannaa duuba taa'ee yeroon dubbisu aaranii ta'uu qaba."
did true knowledge about the hope of mankind become plentiful?,beekumsi dhugaan waa ee abdii ilmaan namootaa ibsu baay atee tureeree?,KEEP,VALID,CONSISTENT,did true knowledge about the hope of mankind become plentiful?,beekumsi dhugaan waa ee abdii ilmaan namootaa ibsu baay atee tureeree?
"for example, in a letter dated june , , to presidents of catholic bishops conferences, the vatican stated in recent years the practice has crept in of pronouncing the god of israel s proper name.","fakkeenyaaf, vaatikaan xalayaa waxabajjii , , walga'iiwwan pireezidaantota luboota kaatolikiitiif barreessiterratti akkas jetteetti waggoota dhihoodhaa asitti maqaa dhuunfaa waaqayyo israa'el waamuun suutuma suuta jalqabameera.",KEEP,VALID,CONSISTENT,"for example, in a letter dated june , , to presidents of catholic bishops conferences, the vatican stated in recent years the practice has crept in of pronouncing the god of israel s proper name.","fakkeenyaaf, vaatikaan xalayaa waxabajjii , , walga'iiwwan pireezidaantota luboota kaatolikiitiif barreessiterratti akkas jetteetti waggoota dhihoodhaa asitti maqaa dhuunfaa waaqayyo israa'el waamuun suutuma suuta jalqabameera."
"you can visit them, especially when they are sick or confined.",keessumaa yommuu dhukkubsataniifi manaa ba uu hin dandeenyetti isaan gaafachuu dandeessa.,KEEP,VALID,CONSISTENT,"you can visit them, especially when they are sick or confined.",keessumaa yommuu dhukkubsataniifi manaa ba uu hin dandeenyetti isaan gaafachuu dandeessa.
"our home was next to the store, so even though father and mother were busy, i never felt lonely.","abbaafi haatikoo hojiidhaan muddamanis, manni keenya suuqichatti waan aanuuf tasumaa kophummaan natti dhaga amee hin beeku.",KEEP,VALID,CONSISTENT,"our home was next to the store, so even though father and mother were busy, i never felt lonely.","abbaafi haatikoo hojiidhaan muddamanis, manni keenya suuqichatti waan aanuuf tasumaa kophummaan natti dhaga amee hin beeku."
"regardless of how you feel about the discipline you received, humble yourself in the eyes of jehovah, and he will exalt you. pet.","atis adaba sii kennameef wanti sitti dhaga amu maaliyyuu yoo ta e, yihowaa duratti gad of deebisi, innis ol si qabaa. phe.",KEEP,VALID,CONSISTENT,"regardless of how you feel about the discipline you received, humble yourself in the eyes of jehovah, and he will exalt you. pet.","atis adaba sii kennameef wanti sitti dhaga amu maaliyyuu yoo ta e, yihowaa duratti gad of deebisi, innis ol si qabaa. phe."
he never expects more of us than we can do.,wanta gochuu dandeenyu caalaa nurraa hin eegu. far.,KEEP,VALID,CONSISTENT,he never expects more of us than we can do.,wanta gochuu dandeenyu caalaa nurraa hin eegu. far.
over million copies of the new world translation of the holy scriptures have been published in over languages.,koppiin kitaaba qulqulluu hiika addunyaa haaraa miliyoona ol ta'u afaanota oliin qophaa'eera.,KEEP,VALID,CONSISTENT,over million copies of the new world translation of the holy scriptures have been published in over languages.,koppiin kitaaba qulqulluu hiika addunyaa haaraa miliyoona ol ta'u afaanota oliin qophaa'eera.
"in the face of difficulties, we were encouraged by meditating on our christian hope and considering the way jehovah had taken care of us.",rakkoowwan yommuu nu mudatan abdii qabnurratti xiinxaluufi karaa yihowaan itti eegumsa nuuf godhe yaadachuudhaan jajjabaanna turre.,KEEP,VALID,CONSISTENT,"in the face of difficulties, we were encouraged by meditating on our christian hope and considering the way jehovah had taken care of us.",rakkoowwan yommuu nu mudatan abdii qabnurratti xiinxaluufi karaa yihowaan itti eegumsa nuuf godhe yaadachuudhaan jajjabaanna turre.
"yes, in a relative sense.","eeyyee, hanga nurraa eegamutti kana gochuu ni dandeenya.",KEEP,VALID,CONSISTENT,"yes, in a relative sense.","eeyyee, hanga nurraa eegamutti kana gochuu ni dandeenya."
refusing to accept a refinement is to be left behind as the organization moves ahead.,fooyya iinsa godhame hin fudhadhu yoon jedhe jaarmiyichi gara fuulduraatti yommuu adeemu ani duubattan hafa jechuudha.,KEEP,VALID,CONSISTENT,refusing to accept a refinement is to be left behind as the organization moves ahead.,fooyya iinsa godhame hin fudhadhu yoon jedhe jaarmiyichi gara fuulduraatti yommuu adeemu ani duubattan hafa jechuudha.
roman historians suetonius and cassius dio claim that burrus was poisoned by nero in c.e.,"barreessitoota seenaa lammii roomaa kan ta'an suutooniyaasiifi kaasiyas diyoon, dh.k.b. bara tti neeroon buuroosiin summiidhaan akka ajjeesise barreessaniiru.",KEEP,VALID,CONSISTENT,roman historians suetonius and cassius dio claim that burrus was poisoned by nero in c.e.,"barreessitoota seenaa lammii roomaa kan ta'an suutooniyaasiifi kaasiyas diyoon, dh.k.b. bara tti neeroon buuroosiin summiidhaan akka ajjeesise barreessaniiru."
not if we grasp the main reason why god sent his son to the earth.,sababii guddaa waaqayyo ilma isaa gara lafaatti itti erge yoo beekne nu hin dinqisiisu.,KEEP,VALID,CONSISTENT,not if we grasp the main reason why god sent his son to the earth.,sababii guddaa waaqayyo ilma isaa gara lafaatti itti erge yoo beekne nu hin dinqisiisu.
the work that jehovah s servants are to do was foretold as part of the composite sign indicating that we are in the last days of this present wicked system of things.,"hojii tajaajiltoonni yihowaa akka hojjetan raajiidhaan dubbatame, milikkita guyyoota gara dhumaa sirna hamaa keessa jiraachuu keenya mirkaneessan keessaa tokkodha.",KEEP,VALID,CONSISTENT,the work that jehovah s servants are to do was foretold as part of the composite sign indicating that we are in the last days of this present wicked system of things.,"hojii tajaajiltoonni yihowaa akka hojjetan raajiidhaan dubbatame, milikkita guyyoota gara dhumaa sirna hamaa keessa jiraachuu keenya mirkaneessan keessaa tokkodha."
may all of us continue to seek holy spirit through prayer and study of the scriptures.,"hundi keenya kadhannaa gochuufi caaffata qulqullaa'oo qorachuudhaan, hafuura qulqulluu argachuuf carraaqqii goonu itti haa fufnu.",KEEP,VALID,CONSISTENT,may all of us continue to seek holy spirit through prayer and study of the scriptures.,"hundi keenya kadhannaa gochuufi caaffata qulqullaa'oo qorachuudhaan, hafuura qulqulluu argachuuf carraaqqii goonu itti haa fufnu."
most likely you show your appreciation in some way.,tarii karaa ta'e tokkoon dinqisiifannaa qabdu ni argisiista ta'a.,KEEP,VALID,CONSISTENT,most likely you show your appreciation in some way.,tarii karaa ta'e tokkoon dinqisiifannaa qabdu ni argisiista ta'a.
"in this article, the term canaanites refers to all the nations god ordered israel to displace.","mataduree kana keessatti, jechi kana'aanota jedhu saboota waaqayyo israa'eloonni akka balleessan isaan ajaje hunda kan argisiisudha.",KEEP,VALID,CONSISTENT,"in this article, the term canaanites refers to all the nations god ordered israel to displace.","mataduree kana keessatti, jechi kana'aanota jedhu saboota waaqayyo israa'eloonni akka balleessan isaan ajaje hunda kan argisiisudha."
we can also find many biblical examples of humans who maintained joy in the face of trying circumstances.,kitaaba qulqulluu keessa namoonni haala rakkisaa ta'e keessatti gammachuu isaanii eeganii jiraachuudhaan fakkeenya nuuf ta'an hedduun jiru.,KEEP,VALID,CONSISTENT,we can also find many biblical examples of humans who maintained joy in the face of trying circumstances.,kitaaba qulqulluu keessa namoonni haala rakkisaa ta'e keessatti gammachuu isaanii eeganii jiraachuudhaan fakkeenya nuuf ta'an hedduun jiru.
"thus, the real purpose for which jehovah, through jesus, has freed us from the law of sin and of death is for us to live a life of dedication as slaves of god.","kanaafuu, yihowaan yesuusitti fayyadamee seera cubbuu fi du'aa jalaa bilisa akka baanu kan godhe, isaaf of murteessinee akka garboota waaqayyootti akka jiraannu waan barbaaduufi.",KEEP,VALID,CONSISTENT,"thus, the real purpose for which jehovah, through jesus, has freed us from the law of sin and of death is for us to live a life of dedication as slaves of god.","kanaafuu, yihowaan yesuusitti fayyadamee seera cubbuu fi du'aa jalaa bilisa akka baanu kan godhe, isaaf of murteessinee akka garboota waaqayyootti akka jiraannu waan barbaaduufi."
"in any case, enoch kept walking with the true god. genesis .","sanas ta'e kana, henok karaa isaa irra deddeebi'uudhaan waaqayyoo wajjin jiraateera. uumama .",KEEP,VALID,CONSISTENT,"in any case, enoch kept walking with the true god. genesis .","sanas ta'e kana, henok karaa isaa irra deddeebi'uudhaan waaqayyoo wajjin jiraateera. uumama ."
consider the way jesus dealt with the apostles.,yesus ergamootasaa akkamitti akka qabe hubadhu.,KEEP,VALID,CONSISTENT,consider the way jesus dealt with the apostles.,yesus ergamootasaa akkamitti akka qabe hubadhu.
it is estimated that each year some three million children die from hunger.,waggaa waggaadhaan sababii beelaatiin ijoolleen gara miliyoona sadii ta'an akka du'an tilmaamama.,KEEP,VALID,CONSISTENT,it is estimated that each year some three million children die from hunger.,waggaa waggaadhaan sababii beelaatiin ijoolleen gara miliyoona sadii ta'an akka du'an tilmaamama.
excess body fat can be a major factor in type diabetes.,namoota dhukkuba sukkaaraatiin qabaman keessaa hedduunsaanii dhukkuba onneetiin qabamanii ykn dhiigni sammuusaanii keessatti dhangala'ee du'u.,KEEP,VALID,CONSISTENT,excess body fat can be a major factor in type diabetes.,namoota dhukkuba sukkaaraatiin qabaman keessaa hedduunsaanii dhukkuba onneetiin qabamanii ykn dhiigni sammuusaanii keessatti dhangala'ee du'u.
the evidence that jesus is a historical person is compelling.,ragaan yesus nama dhugumaan jiraate ta'uusaa ibsu kan nama amansiisudha.,KEEP,VALID,CONSISTENT,the evidence that jesus is a historical person is compelling.,ragaan yesus nama dhugumaan jiraate ta'uusaa ibsu kan nama amansiisudha.
