Source,Target,Decision,Reason
that happened to the apostle paul.,haalli akkasii phaawulos ergamaarra ga'eera.,REMOVE,P2_EN_XX
that should be the case.,akkas ta uu qaba.,REMOVE,P2_EN_XX
the reek was behind me now.,amma gaara riik bira darbeera.,REMOVE,P2_EN_XX
as told by patricia smith,paatriishaa ismiiz akka dubbattetti,REMOVE,P2_XX_OM
"tree which does not wither,",yihowaaf maalan deebisuu danda a?,REMOVE,P2_EN_XX
what is the appropriate response to it?,maarree kennaa kanaaf dinqisiifannaa akkamii qabaachuu qabna?,REMOVE,P2_EN_XX
a warning to the israelites,akeekkachiisa israa'elootaaf kenname,REMOVE,P2_EN_XX
that will enable you to retain what you have learned.,kunis wanta barattan yaadachuuf isin gargaara.,REMOVE,P2_EN_XX
maturity involves more than physical growth.,ga'eessummaan qaamaan guddachuu caalaa waan dabalatu qaba.,REMOVE,P2_XX_OM
the seed appears,sanyichi mul ate,REMOVE,P2_EN_XX
i now have new goals in life.,amma galmawwan haaraa baafadheera.,REMOVE,P2_EN_XX
"then, jesus said to them what are these matters that you are debating between yourselves as you walk along?","achiis yesus, inni isin walii wajjin haasa'aa adeemtan kun, maali?",REMOVE,P2_EN_XX
the value of good conduct,faayidaa amala gaarii,REMOVE,P2_EN_XX
economic welfare. proverbs ephesians .,gama dinagdeetiin. fakkeenya efesoon .,REMOVE,P2_XX_OM
what do the different types of soil represent?,lafti gosa addaddaa kun maal argisiisa?,REMOVE,P2_EN_XX
"ask a learner, what are your spiritual goals?","barataa tokko, galmawwan hafuuraa akkamii qabda?",REMOVE,P2_EN_XX
help people spiritually.,karaa hafuuraa namoota gargaaraa.,REMOVE,P2_XX_OM
joy of holy spirit,gammachuu hafuura qulqulluu biraa dhufu,REMOVE,P2_EN_XX
earthquake... hurricane... terrorist attack... school shooting.,kirkira lafaa... obmboleettii... balaa shororkeessitootaa.. dhukaasa mana barumsaatti raawwatamu.,REMOVE,P2_XX_OM
how does god face distressing situations?,waaqayyo haalawwan dhiphisaa ta aniif ilaalcha akkamii qaba?,REMOVE,P2_EN_XX
what was the effect?,kun bu aa akkamii argamsiise?,REMOVE,P2_EN_XX
septuagint means seventy.,saptuujanti jechuun torbaatama jechuu dha.,REMOVE,P2_XX_OM
these feelings have not changed for me.,ani ammas fedhii akkasiin qaba.,REMOVE,P2_EN_XX
"when a brother read a scripture to a greek orthodox woman, she asked a number of good questions.","obboleessi tokko dubartii amantii ortodoksii giriikii hordoftuuf caqasa tokko yommuu dubbisu, gaaffii fedhii qabaachuushee argisiisu hedduu isa gaafatte.",REMOVE,P2_EN_XX
what would ruth do?,ruut murtoo akkamii gooti ree?,REMOVE,P2_EN_XX
shepherd my little sheep....,hoolota koo eegi!...,REMOVE,P2_EN_XX
avoid such dangerous overreaching.,kun balaa waan geessisuuf ol hin hiixatiin.,REMOVE,P2_XX_OM
eric what do you mean?,eebbisaa maal jechuu keeti?,REMOVE,P2_EN_XX
percy and madge took a real interest in me.,peersiifi maaj xiyyeeffannaa guddaa naa kennaniiru.,REMOVE,P2_EN_XX
jesus performs miraculous healings,yesus dinqiidhaan namoota fayyise,REMOVE,P2_XX_OM
what would the elder do?,jaarsi kun maal gochuu qaba?,REMOVE,P2_EN_XX
"guided by god s spirit conventions,","phexros yesusiin ganuusaa,",REMOVE,P2_EN_XX
followers of christ should develop a hatred for what?,duuka buutonni kiristos wanta akkamiitiif jibba qabaachuu qabu?,REMOVE,P2_EN_XX
what counsel provided by jesus will we consider now?,amma gorsa yesus kenne isa kam baranna?,REMOVE,P2_EN_XX
let us stay awake and keep our senses. thess.,"egaa kottaa in dammaqnaa, of in qabnas. tas.",REMOVE,P2_EN_EN
let us first consider jesus teachings.,mee jalqaba barumsa yesus haa ilaallu.,REMOVE,P2_EN_XX
as told by anthony morris iii,antoonii mooris sadaffaa akka dubbatetti,REMOVE,P2_XX_OM
what wise counsel has been provided about seeking a mate?,hiriyaa gaa elaa barbaachuu ilaalchisee gorsi gaarii akkamii kennameera?,REMOVE,P2_EN_XX
a what are some qualities that god values?,a amalawwan waaqayyo iddoo guddaa kennuuf tokko tokko kamfa'i?,REMOVE,P2_EN_EN
an important one!,ga'ee guddaa qabu!,REMOVE,P2_EN_XX
benefit us personally?,dhuunfaatti kan nu fayyadu akkamitti?,REMOVE,P2_XX_OM
anxiety about money,waa'ee qarshii yaadda'uu,REMOVE,P2_XX_XX
king. revelation .,mootii. mul ata .,REMOVE,P2_XX_OM
the importance of humility,barbaachisummaa gad of deebisuu,REMOVE,P2_EN_EN
appointed men learn from timothy,dhiironni muudamtan ximotewos irraa baradhaa,REMOVE,P2_XX_OM
"however, recreation should not become the primary purpose of our life.",bashannanni sirrii ta e nu barbaachisa.,REMOVE,P2_EN_XX
what plans can lead to a happy future for you?,karoora akkamii baafachuutu gammachuu siif argamsiisa?,REMOVE,P2_EN_XX
what was accomplished by jesus death?,duuti yesus maal argamsiise?,REMOVE,P2_EN_XX
young ones be guided by god s word,dargaggootaa dubbii waaqayyootiin geggeeffamaa,REMOVE,P2_EN_XX
what would you have done if you had been in her place?,utuu si ta ee maal goota turte?,REMOVE,P2_EN_XX
